 time            vgs_fr          time            vds_fr         
 2.66280000e-06  6.98463765e-01  2.66280000e-06  7.51373281e-01 
 2.67280000e-06  6.98153539e-01  2.67280000e-06  7.54492223e-01 
 2.68280000e-06  6.97878227e-01  2.68280000e-06  7.57320747e-01 
 2.69280000e-06  6.97638913e-01  2.69280000e-06  7.59848236e-01 
 2.70280000e-06  6.97436544e-01  2.70280000e-06  7.62065223e-01 
 2.71280000e-06  6.97271918e-01  2.71280000e-06  7.63963413e-01 
 2.72280000e-06  6.97145683e-01  2.72280000e-06  7.65535709e-01 
 2.73280000e-06  6.97058340e-01  2.73280000e-06  7.66776224e-01 
 2.74280000e-06  6.97010231e-01  2.74280000e-06  7.67680303e-01 
 2.75280000e-06  6.97001548e-01  2.75280000e-06  7.68244530e-01 
 2.76280000e-06  6.97032323e-01  2.76280000e-06  7.68466738e-01 
 2.77280000e-06  6.97102437e-01  2.77280000e-06  7.68346018e-01 
 2.78280000e-06  6.97211612e-01  2.78280000e-06  7.67882716e-01 
 2.79280000e-06  6.97359417e-01  2.79280000e-06  7.67078441e-01 
 2.80280000e-06  6.97545269e-01  2.80280000e-06  7.65936055e-01 
 2.81280000e-06  6.97768434e-01  2.81280000e-06  7.64459673e-01 
 2.82280000e-06  6.98028033e-01  2.82280000e-06  7.62654653e-01 
 2.83280000e-06  6.98323039e-01  2.83280000e-06  7.60527584e-01 
 2.84280000e-06  6.98652290e-01  2.84280000e-06  7.58086272e-01 
 2.85280000e-06  6.99014485e-01  2.85280000e-06  7.55339719e-01 
 2.86280000e-06  6.99408196e-01  2.86280000e-06  7.52298105e-01 
 2.87280000e-06  6.99831867e-01  2.87280000e-06  7.48972761e-01 
 2.88280000e-06  7.00283829e-01  2.88280000e-06  7.45376135e-01 
 2.89280000e-06  7.00762295e-01  2.89280000e-06  7.41521764e-01 
 2.90280000e-06  7.01265379e-01  2.90280000e-06  7.37424230e-01 
 2.91280000e-06  7.01791096e-01  2.91280000e-06  7.33099116e-01 
 2.92280000e-06  7.02337369e-01  2.92280000e-06  7.28562962e-01 
 2.93280000e-06  7.02902043e-01  2.93280000e-06  7.23833204e-01 
 2.94280000e-06  7.03482891e-01  2.94280000e-06  7.18928123e-01 
 2.95280000e-06  7.04077618e-01  2.95280000e-06  7.13866772e-01 
 2.96280000e-06  7.04683879e-01  2.96280000e-06  7.08668916e-01 
 2.97280000e-06  7.05299281e-01  2.97280000e-06  7.03354950e-01 
 2.98280000e-06  7.05921395e-01  2.98280000e-06  6.97945824e-01 
 2.99280000e-06  7.06547765e-01  2.99280000e-06  6.92462957e-01 
 3.00280000e-06  7.07175920e-01  3.00280000e-06  6.86928155e-01 
 3.01280000e-06  7.07803381e-01  3.01280000e-06  6.81363510e-01 
 3.02280000e-06  7.08427671e-01  3.02280000e-06  6.75791315e-01 
 3.03280000e-06  7.09046327e-01  3.03280000e-06  6.70233959e-01 
 3.04280000e-06  7.09656907e-01  3.04280000e-06  6.64713834e-01 
 3.05280000e-06  7.10257002e-01  3.05280000e-06  6.59253231e-01 
 3.06280000e-06  7.10844242e-01  3.06280000e-06  6.53874237e-01 
 3.07280000e-06  7.11416311e-01  3.07280000e-06  6.48598639e-01 
 3.08280000e-06  7.11970951e-01  3.08280000e-06  6.43447821e-01 
 3.09280000e-06  7.12505973e-01  3.09280000e-06  6.38442667e-01 
 3.10280000e-06  7.13019265e-01  3.10280000e-06  6.33603465e-01 
 3.11280000e-06  7.13508802e-01  3.11280000e-06  6.28949816e-01 
 3.12280000e-06  7.13972652e-01  3.12280000e-06  6.24500546e-01 
 3.13280000e-06  7.14408984e-01  3.13280000e-06  6.20273621e-01 
 3.14280000e-06  7.14816076e-01  3.14280000e-06  6.16286073e-01 
 3.15280000e-06  7.15192321e-01  3.15280000e-06  6.12553928e-01 
 3.16280000e-06  7.15536235e-01  3.16280000e-06  6.09092135e-01 
 3.17280000e-06  7.15846461e-01  3.17280000e-06  6.05914515e-01 
 3.18280000e-06  7.16121773e-01  3.18280000e-06  6.03033702e-01 
 3.19280000e-06  7.16361087e-01  3.19280000e-06  6.00461099e-01 
 3.20280000e-06  7.16563456e-01  3.20280000e-06  5.98206842e-01 
 3.21280000e-06  7.16728082e-01  3.21280000e-06  5.96279760e-01 
 3.22280000e-06  7.16854317e-01  3.22280000e-06  5.94687355e-01 
 3.23280000e-06  7.16941660e-01  3.23280000e-06  5.93435777e-01 
 3.24280000e-06  7.16989769e-01  3.24280000e-06  5.92529808e-01 
 3.25280000e-06  7.16998452e-01  3.25280000e-06  5.91972853e-01 
